2025-04-24 00:14:30,626 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,634 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,634 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,637 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:30,639 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,643 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,646 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,648 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,648 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,648 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:30,688 - INFO - Found: https://google.com/hotels - Status: 200
2025-04-24 00:14:31,424 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:31,439 - INFO - Found: https://google.com/groups - Status: 200
2025-04-24 00:14:31,449 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:31,451 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:31,455 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:31,473 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:31,519 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:31,520 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:31,521 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:31,525 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
